run,round,n_agents,config,agent,agent_idx,price,profit,avg_market_price
0,25,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.714286,0.23809533333333333,1.7142860000000002
0,26,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.5,0.16666666666666666,1.5
0,26,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.5,0.16666666666666666,1.5
0,26,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.5,0.16666666666666666,1.5
0,27,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,2.0,0.3333333333333333,2.0
0,27,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,2.0,0.3333333333333333,2.0
0,27,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,2.0,0.3333333333333333,2.0
0,28,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.428571,0.142857,1.428571
0,28,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.428571,0.142857,1.428571
0,28,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.428571,0.142857,1.428571
0,29,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.071429,0.023809666666666653,1.071429
0,29,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.071429,0.023809666666666653,1.071429
0,29,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.071429,0.023809666666666653,1.071429
0,30,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.285714,0.095238,1.285714
0,30,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.285714,0.095238,1.285714
0,30,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.285714,0.095238,1.285714
0,31,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.857143,0.2857143333333333,1.857143
0,31,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.857143,0.2857143333333333,1.857143
0,31,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.857143,0.2857143333333333,1.857143
0,32,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.357143,0.11904766666666666,1.357143
0,32,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.357143,0.11904766666666666,1.357143
0,32,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.357143,0.11904766666666666,1.357143
0,33,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.642857,0.21428566666666665,1.642857
0,33,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.642857,0.21428566666666665,1.642857
0,33,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.642857,0.21428566666666665,1.642857
0,34,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.142857,0.047619,1.142857
0,34,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.142857,0.047619,1.142857
0,34,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.142857,0.047619,1.142857
0,35,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.785714,0.2619046666666667,1.7857139999999998
0,35,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.785714,0.2619046666666667,1.7857139999999998
0,35,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.785714,0.2619046666666667,1.7857139999999998
0,36,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.785714,0.2619046666666667,1.7857139999999998
0,36,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.785714,0.2619046666666667,1.7857139999999998
0,36,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.785714,0.2619046666666667,1.7857139999999998
0,37,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.285714,0.095238,1.285714
0,37,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.285714,0.095238,1.285714
0,37,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.285714,0.095238,1.285714
0,38,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.785714,0.2619046666666667,1.7857139999999998
0,38,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.785714,0.2619046666666667,1.7857139999999998
0,38,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.785714,0.2619046666666667,1.7857139999999998
0,39,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.0,0.0,1.0
0,39,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.0,0.0,1.0
0,39,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.0,0.0,1.0
0,40,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.142857,0.047619,1.142857
0,40,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.142857,0.047619,1.142857
0,40,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.142857,0.047619,1.142857
0,41,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.642857,0.21428566666666665,1.642857
0,41,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.642857,0.21428566666666665,1.642857
0,41,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.642857,0.21428566666666665,1.642857
0,42,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.5,0.16666666666666666,1.5
0,42,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.5,0.16666666666666666,1.5
0,42,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.5,0.16666666666666666,1.5
0,43,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.571429,0.1904763333333333,1.571429
0,43,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.571429,0.1904763333333333,1.571429
0,43,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.571429,0.1904763333333333,1.571429
0,44,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.642857,0.21428566666666665,1.642857
0,44,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.642857,0.21428566666666665,1.642857
0,44,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.642857,0.21428566666666665,1.642857
0,45,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.785714,0.2619046666666667,1.7857139999999998
0,45,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.785714,0.2619046666666667,1.7857139999999998
0,45,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.785714,0.2619046666666667,1.7857139999999998
0,46,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.285714,0.095238,1.285714
0,46,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.285714,0.095238,1.285714
0,46,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.285714,0.095238,1.285714
0,47,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,2.0,0.3333333333333333,2.0
0,47,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,2.0,0.3333333333333333,2.0
0,47,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,2.0,0.3333333333333333,2.0
0,48,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.214286,0.07142866666666665,1.214286
0,48,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.214286,0.07142866666666665,1.214286
0,48,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.214286,0.07142866666666665,1.214286
0,49,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.071429,0.023809666666666653,1.071429
0,49,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.071429,0.023809666666666653,1.071429
0,49,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.071429,0.023809666666666653,1.071429
0,50,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.857143,0.2857143333333333,1.857143
0,50,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.857143,0.2857143333333333,1.857143
0,50,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.857143,0.2857143333333333,1.857143
0,51,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.0,0.0,1.0
0,51,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.0,0.0,1.0
0,51,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.0,0.0,1.0
0,52,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.428571,0.142857,1.428571
0,52,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.428571,0.142857,1.428571
